,,,,,,,,,,,,
Mérnökinformatikus BSc_N (2017) [BSZKMEI-N1] mintatanterv,,,,,,,,,,,,
,,,,,,,,,,,,
,Sorkód ,Név ,Félév ,Felvétel típus ,Kurustípus ,Heti óraszám ,Féléves óraszám ,Kredit ,Ebből teljesítendő kredit ,Teljesítendő csoport ,Teljesítendő tárgy ,Előfeltétel
,,,,,,,,,,,,
,MK‑ALA,Alapozó ismeretek,,Kötelező,,,,41,41,,,
◼,TT‑FBNy,Fizika mérnök informatikusoknak II.,,Kötelező,,,,3,3,1,,
◼◼,TE‑FBNyE,Fizika mérnök informatikusoknak II.,2,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,FBNyE,Fizika mérnök informatikusoknak 2. (2008-tól),2,Kötelező,Előadás,2,,3,,,,
◼,TT‑MBNXK111,Diszkrét matematika I.,,Kötelező,,,,5,5,2,,
◼◼,TE‑MBNXK111E,Diszkrét matematika I.,1,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,MBNXK111E,Diszkrét matematika I.,1,Kötelező,Előadás,2,,2,,,,
◼◼,TE‑MBNXK111G,Diszkrét matematika I.,1,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,MBNXK111G,Diszkrét matematika I.,1,Kötelező,Gyakorlat,2,,3,,,,
◼,TT‑MBNXK311,Kalkulus I.,,Kötelező,,,,5,5,2,,
◼◼,TE‑MBNXK311E,Kalkulus I.,1,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,MBNXK311E,Kalkulus I.,1,Kötelező,Előadás,2,,2,,,,
◼◼,TE‑MBNXK311G,Kalkulus I.,1,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,MBNXK311G,Kalkulus I.,1,Kötelező,Gyakorlat,2,,3,,,,
◼,TT‑MBNXK225,Műszaki matematika I.,,Kötelező,,,,5,5,2,,
◼◼,TE‑MBNXK225E,Műszaki matematika I.,2,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,MBNXK225E,Műszaki matematika I.,2,Kötelező,Előadás,2,,3,,,,
◼◼,TE‑MBNXK225G,Műszaki matematika I.,2,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,MBNXK225G,Műszaki matematika I.,2,Kötelező,Gyakorlat,2,,2,,,,
◼,TT‑MBNXK226,Műszaki matematika II.,,Kötelező,,,,5,5,2,,
◼◼,TE‑MBNXK226E,Műszaki matematika II.,3,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,MBNXK226E,Műszaki matematika II.,3,Kötelező,Előadás,2,,3,,,,
◼◼,TE‑MBNXK226G,Műszaki matematika II.,3,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,MBNXK226G,Műszaki matematika II.,3,Kötelező,Gyakorlat,2,,2,,,,
◼,TT‑IBK304,Algoritmusok és adatszerkezetek I.,,Kötelező,,,,4,4,2,,
◼◼,TE‑IBK304E,Algoritmusok és adatszerkezetek I.,3,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IBK304E,Algoritmusok és adatszerkezetek I.,3,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,IBK304E‑00001,Algoritmusok és adatszerkezetek I. (tehetséggondozó program),3,Kötelezően választható,Előadás,2,,2,,,,
◼◼,TE‑IBK304G,Algoritmusok és adatszerkezetek I.,3,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IBK304G,Algoritmusok és adatszerkezetek I. gyakorlat,3,Kötelezően választható,Gyakorlat,1,,2,,,,
,,,,,,,,,,,,
◼◼◼,IBK304G‑00001,Algoritmusok és adatszerkezetek I. gyakorlat (tehetséggondozó program),3,Kötelezően választható,Gyakorlat,1,,2,,,,
◼,TT‑IB371,Számítástudomány alapjai,,Kötelező,,,,5,5,2,,
◼◼,TE‑IB371E,Számítástudomány alapjai,5,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,IB371E,Számítástudomány alapjai,5,Kötelező,Előadás,2,,3,,,,
◼◼,TE‑IB371G,Számítástudomány alapjai,5,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB371G,Számítástudomány alapjai,5,Kötelező,Gyakorlat,1,,2,,,,
◼,TT‑IB372,Logikai következtetési rendszerek,,Kötelező,,,,4,4,2,,
◼◼,TE‑IB372E,Logikai következtetési rendszerek,4,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,IB372E,Logikai következtetési rendszerek,4,Kötelező,Előadás,2,,3,,,,
◼◼,TE‑IB372G,Logikai következtetési rendszerek,4,Kötelező,,,,1,1,,1,
,,,,,,,,,,,,
◼◼◼,IB372G,Logikai következtetési rendszerek gyak.,4,Kötelező,Gyakorlat,1,,1,,,,
◼,TT‑FBN101MI,Fizika mérnök informatikusoknak I.,,Kötelező,,,,,5,2,,
◼◼,TE‑FBN101MIE,Fizika mérnök informatikusoknak előadás,1,Kötelező,,,,,3,,1,
,,,,,,,,,,,,
◼◼◼,FBN101MIE,Fizika mérnök informatikusoknak I (ea),1,Kötelező,Előadás,2,,3,,,,
◼◼,TE‑FBN101MIG,Fizika mérnök informatikusoknak I. gyakorlat,,Kötelező,,,,,2,,1,
,,,,,,,,,,,,
◼◼◼,FBN101MIG,Fizika mérnök informatikusoknak I (gy),1,Kötelező,Gyakorlat,2,,2,,,,
,MK‑GH,Gazdasági és humán tárgyak,,Kötelező,,,,15,15,,,
◼,TT‑GKBN01,Menedzsment alapismeretek,,Nincs megadva,,,,2,2,,,
◼◼,TE‑GKBN01E,Menedzsment alapismeretek,7,Kötelezően választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,GKBN01E,Menedzsment alapismeretek,7,Kötelezően választható,Előadás,2,,2,,,,
◼,TT‑GKBN04,Mikroökonómia I.,,Nincs megadva,,,,5,5,2,,
◼◼,TE‑GKBN04E,Mikroökönómia I.,6,Kötelezően választható,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,GKBN04E,Mikroökonómia I.,6,Kötelezően választható,Előadás,2,,3,,,,
◼◼,TE‑GKBN04S,Mikroökönómia I.,6,Kötelezően választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,GKBN04S,Mikroökonómia I.,6,Kötelezően választható,Gyakorlat,2,,2,,,,
◼,TT‑GKBN05,Makroökonómia I.,,Nincs megadva,,,,3,3,,,
◼◼,TE‑GKBN05E,Makroökönómia I.,7,Kötelezően választható,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,GKBN05E,Makroökönómia I.,7,Kötelezően választható,Előadás,2,,3,,,,
◼,TT‑GKBN12b,Szervezeti viselkedések,,Nincs megadva,,,,2,2,1,,
◼◼,TE‑GKBN12bE,Szervezeti viselkedések,3,Kötelezően választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,GKBN12bE,Szervezeti viselkedések,3,Kötelezően választható,Előadás,2,,2,,,,
◼,TT‑GKBN15,Pénzügyi alapismeretek,,Nincs megadva,,,,3,3,,,
◼◼,TE‑GKBN15E,Pénzügyi alapismeretek,7,Kötelezően választható,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,GKBN15E‑00001,Pénzügyi alapismeretek,7,Kötelezően választható,Előadás,2,,3,,,,
◼,TT‑IBK911,Gazdasági informatika,,Nincs megadva,,,,4,4,2,,
