Programtervező informatikus BSc_N (2017) [BSZKPTI-N1] mintatanterv,,,,,,,,,,,,,,,,,,,,,,,
,Sorkód,Név,Félév,Felvétel típus,Kurustípus,Heti óraszám,Féléves óraszám,Kredit,Ebből teljesítendő kredit,Teljesítendő csoport,Teljesítendő tárgy,Előfeltétel,,,,,,,,,,,
,MK‑ALA,Alapozó ismeretek,,Kötelező,,,,46,46,,,,,,,,,,,,,,
◼,TT‑MBNXK111,Diszkrét matematika I.,1,Kötelező,,,,5,5,2,,,,,,,,,,,,,
◼◼,TE‑MBNXK111E,Diszkrét matematika I.,1,Kötelező,,,,2,2,,,,,,,,,,,,,,
◼◼◼,MBNXK111E,Diszkrét matematika I.,1,Kötelező,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑MBNXK111G,Diszkrét matematika I.,1,Kötelező,,,,3,3,,,,,,,,,,,,,,
◼◼◼,MBNXK111G,Diszkrét matematika I.,1,Kötelező,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼,TT‑MBNXK311,Kalkulus I.,1,Kötelező,,,,5,5,2,,,,,,,,,,,,,
◼◼,TE‑MBNXK311E,Kalkulus I.,1,Kötelező,,,,2,2,,,,,,,,,,,,,,
◼◼◼,MBNXK311E,Kalkulus I.,1,Kötelező,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑MBNXK311G,Kalkulus I.,1,Kötelező,,,,3,3,,,,,,,,,,,,,,
◼◼◼,MBNXK311G,Kalkulus I.,1,Kötelező,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼,TT‑MBNXK262,A sztochasztika alapjai,2,Kötelező,,,,5,5,2,,,,,,,,,,,,,
◼◼,TE‑MBNXK262E,A sztochasztika alapjai,2,Kötelező,,,,2,2,,,,,,,,,,,,,,
◼◼◼,MBNXK262E,A sztochasztika alapjai,2,Kötelező,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑MBNXK262G,A sztochasztika alapjai,2,Kötelező,,,,3,3,,,,,,,,,,,,,,
◼◼◼,MBNXK262G,A sztochasztika alapjai,2,Kötelező,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼,TT‑MBNX363,Alkalmazott statisztika,3,Kötelező,,,,3,3,2,,,,,,,,,,,,,
◼◼,TE‑MBNX363E,Alkalmazott statisztika,3,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,MBNX363E,Alkalmazott statisztika,3,Kötelező,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑MBNX363G,Alkalmazott statisztika,3,Kötelező,,,,1,1,,1,,,,,,,,,,,,
◼◼◼,MBNX363G,Alkalmazott statisztika,3,Kötelező,Labor,1,,1,,,,,,,,,,,,,,,
◼,TT‑IBK203,Operációkutatás I.,2,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IBK203E,Operációkutatás I.,2,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IBK203E,Operációkutatás I.,2,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IBK203E‑00001,Operációkutatás I. (tehetséggondozó program),2,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IBK203G,Operációkutatás I.,2,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IBK203G,Operációkutatás I.,2,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼◼,IBK203G‑00001,Operációkutatás I. gyakorlat (tehetséggondozó program),2,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼,TT‑IBK301,Közelítő és szimbolikus számítások I.,3,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IBK301E,Közelítő és szimbolikus számítások I.,3,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IBK301E,Közelítő és szimbolikus számítások I.,3,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IBK301E‑00001,Közelítő és szimbolikus számítások I. (tehetséggondozó program),3,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IBK301G,Közelítő és szimbolikus számítások I.,3,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IBK301G,Közelítő és szimbolikus számítások I.,3,Kötelezően választható,Labor,1,,2,,,,,,,,,,,,,,,
◼◼◼,IBK301G‑00001,Közelítő és szimbolikus számítások I. (tehetséggondozó program),3,Kötelezően választható,Labor,1,,2,,,,,,,,,,,,,,,
◼,TT‑IBK304,Algoritmusok és adatszerkezetek I.,3,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IBK304E,Algoritmusok és adatszerkezetek I.,3,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IBK304E,Algoritmusok és adatszerkezetek I.,3,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IBK304E‑00001,Algoritmusok és adatszerkezetek I. (tehetséggondozó program),3,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IBK304G,Algoritmusok és adatszerkezetek I.,3,Kötelező,,,,2,2,,1,,,,,,,,,,,,
